antecedentes,consequências,confiança,lift,convicção
"adulto entre 35 e 53 anos,Atropelamento De Animal",Masculino,0.8954248366013071,1.0752185207633562,1.599002501909086
"jovem adulto entre 18 e 35 anos,Atropelamento De Animal",Masculino,0.8543209876543211,1.0258613688775446,1.1478382865149985
"Atropelamento De Animal,Sem Vítimas",Simples,0.8556581986143187,2.049642017880318,4.035787629114585
"adulto entre 35 e 53 anos,Atropelamento De Animal",Simples,0.8431372549019608,2.0196493731795213,3.7136469595273507
"Dupla,Atropelamento De Pessoa",Com Vítimas Feridas,0.8649093904448106,2.2661974035022467,4.577248679323338
"Falta De Atenção,Atropelamento De Pessoa",Com Vítimas Feridas,0.8238719068413392,2.1586728005601685,3.5107591474260453
"Masculino,Atropelamento De Pessoa",Com Vítimas Feridas,0.8179640718562874,2.1431933521331388,3.396820179845538
"Capotamento,Condutor",Masculino,0.8872266973532796,1.06537426494761,1.482761823832463
"Masculino,Colisão Com Objeto Fixo",Condutor,0.891846921797005,0.9948238443985241,0.9570945392375394
"Condutor,Colisão Com Objeto Fixo",Masculino,0.9131175468483815,1.0964637766045502,1.9246227730270582
"Colisão Frontal,Com Vítimas Fatais",Simples,0.9133034379671151,2.187725314340983,6.719215188434882
"Colisão Frontal,Com Vítimas Feridas",Masculino,0.8147382920110193,0.9783308049287504,0.9025931463506067
"Colisão Frontal,Com Vítimas Feridas",Simples,0.8429752066115703,2.0192612030136208,3.709814506524744
"Masculino,Colisão Frontal",Condutor,0.8503740648379052,0.9485623324844509,0.6918100156746108
"Colisão Frontal,Condutor",Masculino,0.9352715304443227,1.1230660915028687,2.583344686810919
"Colisão Frontal,Condutor",Simples,0.8151398793198026,1.952584513079427,3.1512088938003666
"adulto entre 35 e 53 anos,Colisão Frontal",Condutor,0.8251986379114642,0.920480030031837,0.5921734208077196
"Colisão Frontal,Domingo",Simples,0.8439597315436241,2.0216195321591326,3.7332213162611017
"Masculino,Colisão Frontal",Simples,0.8314214463840399,1.9915853477887067,3.4555573286238954
"Colisão Frontal,Simples",Masculino,0.8076550387596899,0.969825294726471,0.8693544495982235
"adulto entre 35 e 53 anos,Colisão Frontal",Masculino,0.8513053348467651,1.0222401986594127,1.1245591611490544
"jovem adulto entre 18 e 35 anos,Colisão Frontal",Masculino,0.8110169491525424,0.9738622481052295,0.8848198140638228
"Colisão Frontal,Passageiro",Simples,0.9088050314465409,2.1769498399365923,6.387774080485181
"Colisão Frontal,Ultrapassagem Indevida",Simples,0.944649446494465,2.2628114834147284,10.524426938895827
"adulto entre 35 e 53 anos,Colisão Frontal",Simples,0.8354143019296254,2.0011498263513054,3.5393892861053096
"jovem adulto entre 18 e 35 anos,Colisão Frontal",Simples,0.8313559322033899,1.9914284152452626,3.4542149273759186
"Colisão Lateral,Com Vítimas Feridas",Condutor,0.866689396522332,0.966761510608242,0.7764777733314919
"Colisão Lateral,Com Vítimas Feridas",Masculino,0.8104330037504262,0.9731610514376754,0.8820942000468993
"Colisão Lateral,Desobediência Às Normas De Trânsito",Condutor,0.9508196721311475,1.0606058713005797,2.1047586511796115
"Colisão Lateral,Dezembro",Condutor,0.9357682619647356,1.0438165531346344,1.611550982677547
"Colisão Lateral,Domingo",Condutor,0.9258836944127709,1.0327906660099146,1.3966254757259944
"Dupla,Colisão Lateral",Condutor,0.954464682363394,1.0646717518945374,2.273240331294029
"Falta De Atenção,Colisão Lateral",Condutor,0.9535880708294501,1.0636939225889375,2.2303041997982644
"Colisão Lateral,Fevereiro",Condutor,0.9585889570552147,1.06927223512097,2.499640511054843
"Colisão Lateral,Janeiro",Condutor,0.9560117302052786,1.0663974292993896,2.353189180499177
"Julho,Colisão Lateral",Condutor,0.9464566929133857,1.055739121578891,1.9332522808568748
"Colisão Lateral,Junho",Condutor,0.9506802721088435,1.0604503754831829,2.0988096442514634
"Colisão Lateral,Maio",Condutor,0.9497282608695652,1.059388440460678,2.0590638466125766
"Colisão Lateral,Março",Condutor,0.9299999999999999,1.037382259980722,1.4787531507116713
"Colisão Lateral,Condutor",Masculino,0.8737586891757696,1.0492019953853586,1.32457391974392
"Colisão Lateral,Masculino",Condutor,0.974795734662789,1.0873503249936047,4.106952500495753
Colisão Lateral,"Masculino,Condutor",0.8257860159549507,1.0539308470364261,1.2425546679636146
"Colisão Lateral,Múltipla",Condutor,0.9661150512214342,1.0776673282123468,3.0548288925050624
"Colisão Lateral,Novembro",Condutor,0.9497847919655668,1.0594514989081287,2.0613818920920735
"Colisão Lateral,Não Guardar Distância De Segurança",Condutor,0.9492682926829269,1.058875362141351,2.040394972376205
"Colisão Lateral,Outubro",Condutor,0.9423312883435584,1.0511373780133184,1.794954622300023
"Colisão Lateral,Quarta-feira",Condutor,0.9440894568690097,1.0530985531083288,1.8513989446910177
"Colisão Lateral,Quinta-feira",Condutor,0.9437447523089841,1.0527140473067107,1.8400544802213783
"Colisão Lateral,Segunda-feira",Condutor,0.9591993841416474,1.069953145046214,2.537038188570044
"Colisão Lateral,Sem Vítimas",Condutor,0.9924853372434018,1.1070824539218165,13.774765934629432
"Colisão Lateral,Setembro",Condutor,0.9634703196347033,1.0747172232333304,2.8336607250512515
"Colisão Lateral,Sexta-feira",Condutor,0.9442988204456094,1.0533320908075232,1.858357783047304
"Colisão Lateral,Simples",Condutor,0.9200871776244096,1.02632485559494,1.2953205439711182
"Colisão Lateral,Sábado",Condutor,0.9383730484798686,1.0467221007925225,1.6796664121216998
"Colisão Lateral,Terça-feira",Condutor,0.9543889845094665,1.064587313603373,2.269467571299767
"Colisão Lateral,adulto entre 35 e 53 anos",Condutor,0.9631959735765964,1.074411199863679,2.812537936990325
"jovem adulto entre 18 e 35 anos,Colisão Lateral",Condutor,0.9384578544061303,1.0468166988177323,1.6819810156266
"Colisão Lateral,pessoa de idade avançada entre 53 a 70 anos",Condutor,0.9684317718940937,1.0802515485641184,3.2790158574167863
"Colisão Lateral,Desobediência Às Normas De Trânsito",Masculino,0.8448928121059268,1.0145400959439959,1.0780670462948345
"Colisão Lateral,Dezembro",Masculino,0.8476070528967256,1.017799333178419,1.0972682862989822
"Colisão Lateral,Domingo",Masculino,0.8483466362599772,1.0186874185847103,1.1026194460066003
"Dupla,Colisão Lateral",Masculino,0.844735673034207,1.014351404684448,1.076975962088842
"Falta De Atenção,Colisão Lateral",Masculino,0.841192917054986,1.0100972934651724,1.0529501884368653
"Colisão Lateral,Fevereiro",Masculino,0.8558282208588958,1.0276712416780573,1.1598382770070645
"Colisão Lateral,Janeiro",Masculino,0.8519061583577713,1.0229616624164333,1.129121549267583
"Julho,Colisão Lateral",Masculino,0.8519685039370078,1.0230365264572134,1.1295970949378613
"Colisão Lateral,Junho",Masculino,0.8622448979591837,1.035376332912934,1.213863918176446
"Colisão Lateral,Maio",Masculino,0.8491847826086957,1.0196938575848535,1.1087471861556506
"Colisão Lateral,Março",Masculino,0.8471428571428572,1.0172419308690153,1.0939361078359162
"Colisão Lateral,Múltipla",Masculino,0.805358550039401,0.9670676906218642,0.8590973194348415
"Colisão Lateral,Novembro",Masculino,0.8522238163558107,1.0233431034361586,1.131548696065115
"Colisão Lateral,Não Guardar Distância De Segurança",Masculino,0.8351219512195122,1.002807329373938,1.0141795657388337
"Colisão Lateral,Outubro",Masculino,0.8233128834355828,0.9886271013132278,0.9463958163078476
"Colisão Lateral,Quarta-feira",Masculino,0.836261980830671,1.0041762672255943,1.021240813589761
"Colisão Lateral,Quinta-feira",Masculino,0.8505457598656592,1.0213281074885965,1.1188437863104788
"Colisão Lateral,Segunda-feira",Masculino,0.8398768283294842,1.0085169453278586,1.0442957516238833
"Colisão Lateral,Sem Vítimas",Masculino,0.8663856304985338,1.0403484892948538,1.2514817720277194
"Colisão Lateral,Setembro",Masculino,0.8538812785388128,1.0253333699150213,1.1443841435231703
"Colisão Lateral,Sexta-feira",Masculino,0.8486238532110092,1.0190202983394763,1.1046386862069513
"Colisão Lateral,Simples",Masculino,0.8703232836905194,1.0450767897253355,1.2894832061678005
"Colisão Lateral,Sábado",Masculino,0.8709942481511914,1.0458824781375833,1.2961898637514564
"Colisão Lateral,Terça-feira",Masculino,0.8356282271944921,1.0034152612546106,1.0173033061456294
"Colisão Lateral,adulto entre 35 e 53 anos",Masculino,0.8524693299779804,1.023637914103527,1.1334317663378313
"jovem adulto entre 18 e 35 anos,Colisão Lateral",Masculino,0.8366858237547893,1.00468521420057,1.0238912001184288
"Colisão Lateral,pessoa de idade avançada entre 53 a 70 anos",Masculino,0.8879837067209775,1.0662832753516875,1.4927823713604012
"Colisão Transversal,Com Vítimas Feridas",Condutor,0.8321932449764857,0.9282822679724705,0.6168566964739419
"Colisão Transversal,Com Vítimas Feridas",Masculino,0.8076100897819581,0.9697713203766752,0.8691513381473593
"Colisão Transversal,Passageiro",Com Vítimas Feridas,0.8180862250262881,2.143513412476735,3.399101108559983
"Colisão Transversal,Desobediência Às Normas De Trânsito",Condutor,0.8885298869143781,0.9911238087609172,0.9286141162367652
"Colisão Transversal,Dezembro",Condutor,0.8567415730337079,0.9556650637130611,0.7225593826614685
"Colisão Transversal,Domingo",Condutor,0.836329233680227,0.9328958177668166,0.632444772376628
"Dupla,Colisão Transversal",Condutor,0.9030531948378974,1.0073240474663971,1.0677269908661324
"Falta De Atenção,Colisão Transversal",Condutor,0.8905094060452335,0.993331892663758,0.9454028589212057
"Colisão Transversal,Fevereiro",Condutor,0.8545454545454545,0.9532153708522765,0.7116499537799922
"Colisão Transversal,Janeiro",Condutor,0.8797297297297297,0.9813075432250075,0.8606675641220747
"Julho,Colisão Transversal",Condutor,0.8863636363636364,0.9887074325329464,0.9109119408383902
"Colisão Transversal,Junho",Condutor,0.8804713804713805,0.9821348285180076,0.8660078310787517
"Colisão Transversal,Maio",Condutor,0.9107142857142857,1.0158697246354997,1.159342470157951
"Março,Colisão Transversal",Condutor,0.891213389121339,0.9941171610019068,0.9515207773617805
"Masculino,Colisão Transversal",Condutor,0.9464311994113318,1.0557106844748312,1.9323322421318854
