id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_veiculo,estado_fisico,idade,sexo
1130412,24/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Sem Vítimas        ,Plena noite,Nublado,Dupla   ,Urbano,Automóvel,Ileso       ,35.0,Feminino
1130423,28/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Ônibus,Ileso       ,23.0,Masculino
1130423,28/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Ônibus,Ileso       ,26.0,Masculino
1130423,28/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Ônibus,Ileso       ,-1.0,Masculino
1130465,26/05/2012,RN,304,ITAJA,Defeito na via,Capotamento,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,32.0,Feminino
1130465,26/05/2012,RN,304,ITAJA,Defeito na via,Capotamento,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Automóvel,Ferido Leve ,7.0,Masculino
1130711,24/06/2012,RN,304,ITAJA,Desobediência à sinalização,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,28.0,Masculino
1130711,24/06/2012,RN,304,ITAJA,Desobediência à sinalização,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,Não identificado,Ignorado    ,-1.0,Inválido
1130800,28/06/2012,RN,406,CEARA-MIRIM,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,25.0,Masculino
1130800,28/06/2012,RN,406,CEARA-MIRIM,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,Caminhonete,Ileso       ,42.0,Masculino
1130804,28/06/2012,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Anoitecer,Nublado,Dupla   ,Urbano,Automóvel,Ileso       ,44.0,Masculino
1130804,28/06/2012,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Anoitecer,Nublado,Dupla   ,Urbano,Motocicletas,Ileso       ,43.0,Masculino
1130805,28/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Nublado,Dupla   ,Urbano,Automóvel,Ileso       ,25.0,Masculino
1130805,28/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Nublado,Dupla   ,Urbano,Camioneta,Ileso       ,46.0,Masculino
1130821,28/06/2012,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Nublado,Múltipla,Urbano,Caminhonete,Ileso       ,57.0,Masculino
1130821,28/06/2012,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Nublado,Múltipla,Urbano,Automóvel,Ileso       ,55.0,Masculino
1130834,28/06/2012,RN,101,SAO JOSE DE MIPIBU,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Anoitecer,Nublado,Dupla   ,Rural ,Automóvel,Ileso       ,33.0,Masculino
1130834,28/06/2012,RN,101,SAO JOSE DE MIPIBU,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Anoitecer,Nublado,Dupla   ,Rural ,(null),Ferido Grave,34.0,Feminino
1130869,28/06/2012,RN,406,CEARA-MIRIM,Outras,Colisão frontal,Com Vítimas Feridas,Plena noite,Nublado,Simples ,Urbano,Utilitário,Ileso       ,24.0,Masculino
1130869,28/06/2012,RN,406,CEARA-MIRIM,Outras,Colisão frontal,Com Vítimas Feridas,Plena noite,Nublado,Simples ,Urbano,Bicicleta,Ferido Grave,-1.0,Masculino
1130887,28/06/2012,RN,304,MOSSORO,Desobediência à sinalização,Colisão frontal,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,44.0,Masculino
1130887,28/06/2012,RN,304,MOSSORO,Desobediência à sinalização,Colisão frontal,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Caminhão,Ileso       ,46.0,Masculino
1130907,23/06/2012,RN,110,MOSSORO,Desobediência à sinalização,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,57.0,Masculino
1130907,23/06/2012,RN,110,MOSSORO,Desobediência à sinalização,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,Motoneta,Ileso       ,-1.0,Masculino
1130920,23/06/2012,RN,110,MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,Motoneta,Ferido Leve ,48.0,Feminino
1130920,23/06/2012,RN,110,MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,Motocicletas,Ileso       ,19.0,Masculino
1130926,29/06/2012,RN,406,JOAO CAMARA,Animais na Pista,Atropelamento de animal,Sem Vítimas        ,Plena noite,Nublado,Simples ,Rural ,Automóvel,Ileso       ,41.0,Masculino
1130975,26/06/2012,RN,101,PARNAMIRIM,Outras,Capotamento,Sem Vítimas        ,Plena noite,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,29.0,Masculino
1131024,29/06/2012,RN,304,NATAL,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Chuva,Dupla   ,Rural ,Camioneta,Ileso       ,56.0,Masculino
1131024,29/06/2012,RN,304,NATAL,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Chuva,Dupla   ,Rural ,Motocicletas,Ferido Grave,20.0,Masculino
1131038,26/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Caminhonete,Ileso       ,41.0,Masculino
1131038,26/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Motocicletas,Ileso       ,28.0,Masculino
1131086,26/06/2012,RN,101,GOIANINHA,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Caminhão,Ileso       ,32.0,Masculino
1131086,26/06/2012,RN,101,GOIANINHA,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Automóvel,Ileso       ,50.0,Masculino
