id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_envolvido,idade,sexo
83126112,06/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,32.0,Masculino
83126112,06/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,22.0,Masculino
83126112,06/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,27.0,Masculino
83126112,06/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,37.0,Masculino
83126112,06/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,62.0,Masculino
83126112,06/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,48.0,Masculino
83126265,06/01/2014,RN,101,CEARA-MIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ignorada,Simples ,Rural ,Condutor,35.0,Masculino
83126265,06/01/2014,RN,101,CEARA-MIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ignorada,Simples ,Rural ,Condutor,41.0,Masculino
83126265,06/01/2014,RN,101,CEARA-MIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ignorada,Simples ,Rural ,Condutor,35.0,Masculino
83126270,06/01/2014,RN,101,CEARA-MIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,35.0,Masculino
83126270,06/01/2014,RN,101,CEARA-MIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,41.0,Masculino
83126301,03/01/2014,RN,304,MOSSORO,Desobediência à sinalização,Colisão Transversal,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,29.0,Masculino
83126301,03/01/2014,RN,304,MOSSORO,Desobediência à sinalização,Colisão Transversal,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,40.0,Masculino
