id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
265869,13/08/2007,Segunda,18:30:00,RN,101,40.9,MAXARANGUAPE,Animais na Pista,Atropelamento de animal,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,1,1,0,0,2,1
265876,13/08/2007,Segunda,09:15:00,RN,101,101.6,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nublado,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
265940,11/08/2007,Sábado,23:10:00,RN,101,85,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Nevoeiro/neblina,Dupla,Reta,Urbano,2007,3,0,0,0,3,0,0,3
265941,11/08/2007,Sábado,00:08:00,RN,101,99.9,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Chuva,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
265982,12/08/2007,Domingo,04:00:00,RN,406,150,CEARA-MIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Nublado,Simples,Reta,Urbano,2007,2,0,0,0,1,1,0,2
266071,14/08/2007,Terça,10:20:00,RN,101,84.2,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
266078,13/08/2007,Segunda,17:30:00,RN,101,97,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Anoitecer,Crescente,Nublado,Dupla,Reta,Urbano,2007,3,0,0,0,3,0,0,3
266160,10/08/2007,Sexta,09:00:00,RN,101,99.7,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,0,2,0,0,2
266180,14/08/2007,Terça,17:55:00,RN,406,170,SAO GONCALO DO AMARANTE,Animais na Pista,Atropelamento de animal,Sem Vítimas,Anoitecer,Crescente,Ceu Claro,Simples,Reta,Rural,2007,1,0,0,0,1,0,0,1
266185,14/08/2007,Terça,17:50:00,RN,406,170,SAO GONCALO DO AMARANTE,Animais na Pista,Atropelamento de animal,Sem Vítimas,Anoitecer,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,1,0,0,0,1,0,0,1
266211,14/08/2007,Terça,15:40:00,RN,101,84.2,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
266384,26/07/2007,Quinta,17:30:00,RN,405,2,MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2007,3,0,0,1,2,0,1,2
266405,15/08/2007,Quarta,08:50:00,RN,101,84.2,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
